,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
229,Singapore,SG,,,,1.35,103.82,56461,recovered,2020-09-08T00:00:00Z
230,Singapore,SG,,,,1.35,103.82,56492,recovered,2020-09-09T00:00:00Z
231,Singapore,SG,,,,1.35,103.82,56558,recovered,2020-09-10T00:00:00Z
232,Singapore,SG,,,,1.35,103.82,56607,recovered,2020-09-11T00:00:00Z
233,Singapore,SG,,,,1.35,103.82,56699,recovered,2020-09-12T00:00:00Z
234,Singapore,SG,,,,1.35,103.82,56764,recovered,2020-09-13T00:00:00Z
235,Singapore,SG,,,,1.35,103.82,56802,recovered,2020-09-14T00:00:00Z
236,Singapore,SG,,,,1.35,103.82,56884,recovered,2020-09-15T00:00:00Z
237,Singapore,SG,,,,1.35,103.82,56955,recovered,2020-09-16T00:00:00Z
238,Singapore,SG,,,,1.35,103.82,57039,recovered,2020-09-17T00:00:00Z
239,Singapore,SG,,,,1.35,103.82,57071,recovered,2020-09-18T00:00:00Z
240,Singapore,SG,,,,1.35,103.82,57142,recovered,2020-09-19T00:00:00Z
241,Singapore,SG,,,,1.35,103.82,57181,recovered,2020-09-20T00:00:00Z
242,Singapore,SG,,,,1.35,103.82,57241,recovered,2020-09-21T00:00:00Z
243,Singapore,SG,,,,1.35,103.82,57262,recovered,2020-09-22T00:00:00Z
244,Singapore,SG,,,,1.35,103.82,57291,recovered,2020-09-23T00:00:00Z
245,Singapore,SG,,,,1.35,103.82,57333,recovered,2020-09-24T00:00:00Z
246,Singapore,SG,,,,1.35,103.82,57341,recovered,2020-09-25T00:00:00Z
247,Singapore,SG,,,,1.35,103.82,57359,recovered,2020-09-26T00:00:00Z
248,Singapore,SG,,,,1.35,103.82,57367,recovered,2020-09-27T00:00:00Z
249,Singapore,SG,,,,1.35,103.82,57393,recovered,2020-09-28T00:00:00Z
250,Singapore,SG,,,,1.35,103.82,57466,recovered,2020-09-29T00:00:00Z
251,Singapore,SG,,,,1.35,103.82,57488,recovered,2020-09-30T00:00:00Z
252,Singapore,SG,,,,1.35,103.82,57512,recovered,2020-10-01T00:00:00Z
253,Singapore,SG,,,,1.35,103.82,57534,recovered,2020-10-02T00:00:00Z
254,Singapore,SG,,,,1.35,103.82,57562,recovered,2020-10-03T00:00:00Z
255,Singapore,SG,,,,1.35,103.82,57575,recovered,2020-10-04T00:00:00Z
256,Singapore,SG,,,,1.35,103.82,57597,recovered,2020-10-05T00:00:00Z
257,Singapore,SG,,,,1.35,103.82,57612,recovered,2020-10-06T00:00:00Z
258,Singapore,SG,,,,1.35,103.82,57624,recovered,2020-10-07T00:00:00Z
259,Singapore,SG,,,,1.35,103.82,57668,recovered,2020-10-08T00:00:00Z
260,Singapore,SG,,,,1.35,103.82,57675,recovered,2020-10-09T00:00:00Z
261,Singapore,SG,,,,1.35,103.82,57698,recovered,2020-10-10T00:00:00Z
262,Singapore,SG,,,,1.35,103.82,57705,recovered,2020-10-11T00:00:00Z
263,Singapore,SG,,,,1.35,103.82,57728,recovered,2020-10-12T00:00:00Z
264,Singapore,SG,,,,1.35,103.82,57740,recovered,2020-10-13T00:00:00Z
265,Singapore,SG,,,,1.35,103.82,57752,recovered,2020-10-14T00:00:00Z
266,Singapore,SG,,,,1.35,103.82,57764,recovered,2020-10-15T00:00:00Z
267,Singapore,SG,,,,1.35,103.82,57784,recovered,2020-10-16T00:00:00Z
268,Singapore,SG,,,,1.35,103.82,57798,recovered,2020-10-17T00:00:00Z
269,Singapore,SG,,,,1.35,103.82,57807,recovered,2020-10-18T00:00:00Z
270,Singapore,SG,,,,1.35,103.82,57819,recovered,2020-10-19T00:00:00Z
271,Singapore,SG,,,,1.35,103.82,57819,recovered,2020-10-20T00:00:00Z
272,Singapore,SG,,,,1.35,103.82,57821,recovered,2020-10-21T00:00:00Z
273,Singapore,SG,,,,1.35,103.82,57829,recovered,2020-10-22T00:00:00Z
274,Singapore,SG,,,,1.35,103.82,57832,recovered,2020-10-23T00:00:00Z
275,Singapore,SG,,,,1.35,103.82,57844,recovered,2020-10-24T00:00:00Z
276,Singapore,SG,,,,1.35,103.82,57858,recovered,2020-10-25T00:00:00Z
277,Singapore,SG,,,,1.35,103.82,57879,recovered,2020-10-26T00:00:00Z
278,Singapore,SG,,,,1.35,103.82,57883,recovered,2020-10-27T00:00:00Z
279,Singapore,SG,,,,1.35,103.82,57890,recovered,2020-10-28T00:00:00Z
280,Singapore,SG,,,,1.35,103.82,57899,recovered,2020-10-29T00:00:00Z
281,Singapore,SG,,,,1.35,103.82,57909,recovered,2020-10-30T00:00:00Z
282,Singapore,SG,,,,1.35,103.82,57913,recovered,2020-10-31T00:00:00Z
283,Singapore,SG,,,,1.35,103.82,57924,recovered,2020-11-01T00:00:00Z
284,Singapore,SG,,,,1.35,103.82,57924,recovered,2020-11-02T00:00:00Z
285,Singapore,SG,,,,1.35,103.82,57937,recovered,2020-11-03T00:00:00Z
286,Singapore,SG,,,,1.35,103.82,57938,recovered,2020-11-04T00:00:00Z
287,Singapore,SG,,,,1.35,103.82,57949,recovered,2020-11-05T00:00:00Z
288,Singapore,SG,,,,1.35,103.82,57959,recovered,2020-11-06T00:00:00Z
289,Singapore,SG,,,,1.35,103.82,57968,recovered,2020-11-07T00:00:00Z
290,Singapore,SG,,,,1.35,103.82,57975,recovered,2020-11-08T00:00:00Z
291,Singapore,SG,,,,1.35,103.82,57981,recovered,2020-11-09T00:00:00Z
292,Singapore,SG,,,,1.35,103.82,57985,recovered,2020-11-10T00:00:00Z
293,Singapore,SG,,,,1.35,103.82,57990,recovered,2020-11-11T00:00:00Z
294,Singapore,SG,,,,1.35,103.82,58002,recovered,2020-11-12T00:00:00Z
295,Singapore,SG,,,,1.35,103.82,58008,recovered,2020-11-13T00:00:00Z
296,Singapore,SG,,,,1.35,103.82,58019,recovered,2020-11-14T00:00:00Z
297,Singapore,SG,,,,1.35,103.82,58029,recovered,2020-11-15T00:00:00Z
298,Singapore,SG,,,,1.35,103.82,58033,recovered,2020-11-16T00:00:00Z
299,Singapore,SG,,,,1.35,103.82,58039,recovered,2020-11-17T00:00:00Z
300,Singapore,SG,,,,1.35,103.82,58046,recovered,2020-11-18T00:00:00Z
301,Singapore,SG,,,,1.35,103.82,58052,recovered,2020-11-19T00:00:00Z
302,Singapore,SG,,,,1.35,103.82,58058,recovered,2020-11-20T00:00:00Z
303,Singapore,SG,,,,1.35,103.82,58064,recovered,2020-11-21T00:00:00Z
304,Singapore,SG,,,,1.35,103.82,58067,recovered,2020-11-22T00:00:00Z
305,Singapore,SG,,,,1.35,103.82,58071,recovered,2020-11-23T00:00:00Z
306,Singapore,SG,,,,1.35,103.82,58079,recovered,2020-11-24T00:00:00Z
307,Singapore,SG,,,,1.35,103.82,58091,recovered,2020-11-25T00:00:00Z
308,Singapore,SG,,,,1.35,103.82,58104,recovered,2020-11-26T00:00:00Z
309,Singapore,SG,,,,1.35,103.82,58111,recovered,2020-11-27T00:00:00Z
310,Singapore,SG,,,,1.35,103.82,58119,recovered,2020-11-28T00:00:00Z
311,Singapore,SG,,,,1.35,103.82,58124,recovered,2020-11-29T00:00:00Z
312,Singapore,SG,,,,1.35,103.82,58134,recovered,2020-11-30T00:00:00Z
313,Singapore,SG,,,,1.35,103.82,58139,recovered,2020-12-01T00:00:00Z
314,Singapore,SG,,,,1.35,103.82,58144,recovered,2020-12-02T00:00:00Z
315,Singapore,SG,,,,1.35,103.82,58145,recovered,2020-12-03T00:00:00Z
316,Singapore,SG,,,,1.35,103.82,58152,recovered,2020-12-04T00:00:00Z
317,Singapore,SG,,,,1.35,103.82,58158,recovered,2020-12-05T00:00:00Z
318,Singapore,SG,,,,1.35,103.82,58160,recovered,2020-12-06T00:00:00Z
319,Singapore,SG,,,,1.35,103.82,58168,recovered,2020-12-07T00:00:00Z
320,Singapore,SG,,,,1.35,103.82,58176,recovered,2020-12-08T00:00:00Z
321,Singapore,SG,,,,1.35,103.82,58182,recovered,2020-12-09T00:00:00Z
